date,title,venue,url,slides
May 2023,Introduction to Accessibility Research, Hong Kong Japanese School,,
Sep 2024,PathFinder: Designing a Map-less Navigation System for Blind People in Unfamiliar Buildings, Forum on Information Technology (FIT 2024),,
Feb 2025,Research Introduction; Map-less Navigation System for Blind People, A11y Meetup, Cybozu (Japan),,
Mar 2025,PathFinder: Designing a Map-less Navigation System for Blind People in Unfamiliar Buildings, Global Creative Leaders Society, The University of Tokyo,,
May 2025,WanderGuide: Indoor Map-less Robotic Guide for Exploration by Blind People, CHI 2025 Symposium,https://sigchi.jp/symposium/chi2025_symposium/,
Dec 2025,Navigation System for Blind People, Creative Japan Session at Siggraph ASIA 2025,,
May 2026,Accessibility Research for Blind People in the AI Era: What Is Left to Do?,Seminar at Nakamura Lab Meiji University,https://nkmr-lab.org/news/2026-spring-invited-speaker.html,
Jun 2026,視覚障害者のMap-less Navigation System実現のための協調インタラクション,SSII 2026 Organized Session 人が使う画像センシング,https://pub.confit.atlas.jp/ja/event/ssii2026/content/organized
