date,title
Apr. 2026 - Current,HCI Researcher at Woven By Toyota
Apr. 2023 - Mar. 2026,Ph.D. Student at Waseda University
Apr. 2023 - Mar. 2026,Research Fellow of the Japan Society for the Promotion of Science (DC1)
Aug. 2024 - Mar. 2026,"Part Time Researcher, Miraikan Accessibility Lab, Miraikan - The National Museum of Emerging Science and Innovation"
Aug. 2025 - Oct. 2025,"Intern, Woven By Toyota"
Jan. 2024 - May. 2025,"Visiting Researcher, H2X lab, Boston University, Advisor: Eshed Ohn-Bar"
Apr. 2021 - Jan. 2024,"Research Intern, IBM Research - Tokyo, Advisor: Hironobu Takagi, Chieko Asakawa, Tatsuya Ishihara"
Jun. 2022 - Sept. 2022,"Visiting Researcher, Cognitive Assistance Lab, Carnegie Mellon University, Advisor: Daisuke Sato, Chieko Asakawa"
