date,title,venue,url,slides
Dec 2025,Navigation System for Blind People, Creative Japan Session at Siggraph ASIA 2025,,
May 2025,WanderGuide: Indoor Map-less Robotic Guide for Exploration by Blind People, CHI 2025 Symposium,,
Mar 2025,PathFinder: Designing a Map-less Navigation System for Blind People in Unfamiliar Buildings, Global Creative Leaders Society, The University of Tokyo,,
Feb 2025,Research Introduction; Map-less Navigation System for Blind People, A11y Meetup, Cybozu (Japan),,
Sep 2024,PathFinder: Designing a Map-less Navigation System for Blind People in Unfamiliar Buildings, Forum on Information Technology (FIT 2024),,
Nov 2023,PathFinder: Designing a Map-less Navigation System for Blind People in Unfamiliar Buildings, Workshop on Interactive Systems and Software (WISS 2023),,
May 2023,Introduction to Accessibility Research, Hong Kong Japanese School,,
