date,title
Apr. 2023 - Mar. 2026,Research Fellowship for Young Scientists (DC1) JSPS (日本学術振興会 特別研究員DC1)
Apr. 2021 - Mar. 2023,"Scholarship for Outstanding Master Students Japan Student Services Organization (JASSO)  (日本学生支援機構 奨学金 全額返済免除 )"
Mar. 2023, "Isao Okawa Scholarship for Information Technology Science(大川功情報通信学術奨学金)"
Jan. 2024. - May. 2025, "Visiting support from Super Global University (SGU),  ICT & Robotics, Waseda University, "
Jan. 2024. - May. 2025., "Scholarship for short-term study abroad, Japan Student Services Organization (JASSO), "
Oct. 2024, Travel support from The Telecommunications Advancement Foundation to MobileHCI 2024 (Melbourne) 
